,feature,class
0,"[-2.3525876e+02  9.7263557e+01 -6.9098846e+01  3.8219662e+01
 -2.3175690e+01  9.7032499e+00 -1.4446387e+01 -8.7337055e+00
 -1.0213528e+01 -9.2752600e+00  4.1270862e+00 -1.2478044e+01
  3.4759476e+00 -8.4596176e+00  1.9365813e+00 -4.5638843e+00
 -6.4839349e+00 -5.6250417e-01 -8.1321316e+00 -3.5215650e+00
 -5.1710734e+00  6.5240180e-01 -6.4594989e+00 -2.3634722e-02
  1.3573705e+00 -1.5840259e+00  2.5797715e+00 -1.9683474e+00
  8.0246681e-01  2.4959357e+00  5.3652387e+00  5.7908130e-01
  5.9493583e-01  1.0218205e+00  2.0617212e-01  3.8110981e+00
  2.0360956e+00  3.3448653e+00  9.7372627e-01 -4.2434743e-01]",Anger
1,"[-252.42154     108.92264     -44.598278     39.625465    -30.308432
    7.477504    -10.804537     -4.057833    -14.97913     -11.276303
    5.098713    -11.341038      2.5134475   -12.718106      5.286964
   -2.6872509    -7.391531      1.6523672    -6.567525     -2.5645368
   -4.3278294     0.95419675   -8.2944565    -3.0011       -4.146596
   -7.990636     -1.1474408    -3.615129     -1.7852463    -2.8787775
    1.2912283    -1.1336422    -1.5037938    -1.0507578     0.32384777
    3.0692916     2.379341      5.9030657     3.8796475     5.5261974 ]",Anger
2,"[-4.5762866e+02  5.6279591e+01 -1.4248884e+00  4.8572941e+01
  7.8425670e+00 -4.7758002e-02 -1.5160760e+01  8.4893494e+00
 -1.3447742e+01 -2.4537618e-01 -1.6102888e+01  9.7441597e+00
 -1.2071766e+01  1.0303845e+01 -5.4616518e+00  1.0698829e+00
 -4.4364698e-02 -1.5387689e-01 -1.0084590e+01  1.3591952e+00
 -5.7712293e+00 -1.1686428e+00 -6.8363166e+00  3.4542816e+00
  3.8126953e+00  5.8418450e+00  1.1706755e+01  4.6483393e+00
  1.6544516e+00  3.6701224e+00 -3.6884072e-01  3.3036945e+00
  9.8591310e-01  2.1231382e+00  2.7810144e+00  4.1804924e+00
  6.4808531e+00  5.6732230e+00  5.8000951e+00  4.2626667e+00]",Anger
3,"[-3.0596060e+02  8.3767982e+01 -2.9082237e+01  2.9386377e+01
  1.9147999e+00 -3.3430152e+00 -1.3463443e+01  6.5539331e+00
 -2.1562525e+01 -6.7273714e-02 -9.7668428e+00 -4.0977640e+00
 -2.6187096e+00 -3.6938782e+00 -6.0205612e+00  7.7962704e+00
 -6.5502143e+00  1.4367555e+00 -1.4730664e+00 -5.5004206e+00
 -9.5749578e+00 -4.2224317e+00 -6.7004943e+00 -3.1065388e+00
  1.4987994e+00  6.7985320e+00  6.5252466e+00  8.8972597e+00
  8.0851984e+00  6.3142695e+00  3.2310035e+00  2.5922124e+00
  3.9199648e+00  2.4320107e+00  4.1003532e+00  3.0547543e+00
  4.1624770e+00  4.9015112e+00  4.8935108e+00  3.8473113e+00]",Anger
4,"[-4.7713135e+02  8.8681503e+01  5.7415791e+00  2.1685595e+01
 -1.0464827e+01 -8.4267626e+00 -5.3275704e-01  9.2754555e+00
 -1.5262587e+01  3.7777236e+00 -1.4302506e+00  5.5131221e+00
 -5.2842073e+00  1.2914990e+01 -9.4952145e+00  2.8735158e+00
 -1.7370814e+00 -3.0446541e+00 -6.4083843e+00 -1.3103172e+00
 -4.7057595e+00  4.0762191e+00 -1.1724901e+00  7.2741389e+00
  4.5479746e+00  6.5696416e+00  6.6959114e+00  9.7653589e+00
  5.4532857e+00  7.0106444e+00  1.1279131e+00 -2.2092297e+00
  7.2529763e-01  9.1234076e-01  3.0241640e+00  1.9645890e+00
  3.0785062e+00  2.8668306e+00  2.9026048e+00  2.9116958e-01]",Anger
5,"[-320.71115      90.64617     -26.030651     33.981934     -0.385097
   -3.0707233   -14.471633     10.40355     -22.069925     -0.5171248
   -7.828585     -7.274501     -5.122503     -1.3958781    -7.00561
    4.4175425    -5.0990496     1.8720618    -3.004965     -1.0441412
   -7.900936     -0.96828645   -4.8355265    -4.8183       -1.2361196
    2.8977473    -0.34480184    3.8995612     5.170329      3.190511
    3.7957757     4.0296445     3.4925568     3.5350957     5.092354
    4.76658       3.1753626     2.8616495     3.1213667     3.8556342 ]",Anger
6,"[-3.0530475e+02  7.4415672e+01 -2.3976330e+01  3.6290199e+01
  9.4100112e-01 -5.8829989e+00 -1.2675798e+01  3.5959899e+00
 -2.2304806e+01 -5.8174521e-01 -1.1021210e+01 -9.7817488e+00
 -3.0350235e-01 -3.9826410e+00 -4.0081601e+00  5.1828952e+00
 -5.3140774e+00  1.9855372e+00 -4.4241107e-01 -3.3722866e+00
 -5.1187043e+00 -2.9501674e+00 -7.3959851e+00 -7.2242761e+00
 -4.0282135e+00 -3.4162912e+00 -5.4861789e+00 -1.1372267e-01
 -6.7262751e-01 -2.3503169e-02  4.5022655e+00  3.6130373e+00
  2.8693471e+00  2.9968553e+00  7.0811305e+00  5.8195343e+00
  6.5822034e+00  5.5762506e+00  4.1406007e+00  3.3027844e+00]",Anger
7,"[-3.2426242e+02  7.8677055e+01 -2.4002750e+01  3.7652115e+01
 -1.2900752e+00 -4.3695126e+00 -1.2504259e+01  4.7788038e+00
 -2.2764469e+01  1.9576177e-01 -1.3064848e+01 -7.0856657e+00
 -2.0107613e+00 -4.3024650e+00 -3.9333394e+00  6.2800479e+00
 -7.1938019e+00  2.8416862e+00 -1.2537181e+00 -4.5470104e+00
 -5.5480256e+00 -2.4851909e+00 -7.5771413e+00 -6.2646236e+00
 -3.3630126e+00 -2.7614202e+00 -4.6323652e+00  1.3989758e+00
  2.9608223e-01 -4.0794220e-02  3.7319944e+00  4.2414041e+00
  3.9841998e+00  4.6656737e+00  5.9430623e+00  5.3946967e+00
  4.0141139e+00  4.2016459e+00  2.2683446e+00  7.7129585e-01]",Anger
8,"[-310.23178     101.13947     -22.126102      8.805868    -12.538663
  -19.270226     -1.0273509     2.0256188   -25.788767      9.461702
   -7.613381      1.4677589    -4.684356     -1.3541051    -1.4455324
    1.036942     -4.8467436     0.9129168    -1.8536826    -6.1280327
   -6.38785      -3.6744437    -8.634339     -4.279855      0.64939827
    2.6660545     3.7037964     2.683321      4.6920915     0.5976891
    0.51182395    3.602294      4.3955994     6.0499334     6.5197697
    7.0488834     4.0252423     2.5651455     2.413321      3.13338   ]",Anger
9,"[-3.8740134e+02  2.7851353e+01 -2.4063025e+01 -2.1319880e+00
 -1.3407127e+01 -5.0250897e+00 -1.2057083e+01 -1.0762680e+01
 -1.6003178e+01 -3.6496764e-01 -1.3006563e+01  9.7028476e-01
 -1.0597264e+01  3.8455677e+00 -3.5511823e+00  4.8147864e+00
  4.5146942e+00  7.6478662e+00  3.4772904e+00  5.9345546e+00
 -7.3471981e-01  3.2516310e+00  2.6108202e-01  2.9830484e+00
  1.6617832e+00  7.5845975e-01  2.6308732e+00  3.9585741e+00
  7.9217118e-01  1.0077977e+00  1.5739948e+00  1.0177395e+00
  1.4120978e+00  1.7366670e+00  1.2184676e+00  2.2522640e-01
  2.7104554e-01  1.1292280e+00  9.2354536e-01 -7.2841907e-01]",Anger
