,feature,class
0,"[-4.7555399e+02  9.5947395e+01 -8.0418473e-01  2.2639591e+01
 -4.3835320e+00 -1.7040808e+00 -4.0203710e+00  7.6567135e+00
 -1.7761560e+01  4.0876312e+00 -8.6066952e+00 -1.2263545e+00
 -7.2141323e+00 -3.5382962e-01 -3.3798738e+00 -1.4410414e+00
 -5.8529577e+00 -2.3292506e+00 -6.6752787e+00 -2.4507661e+00
 -6.4352741e+00 -2.2743165e+00 -4.9825397e+00  3.7680677e-01
 -2.4204738e+00  1.9355872e-01  3.1084867e+00  7.7550101e+00
  5.2753472e+00  7.9517775e+00  8.1394634e+00  3.5019796e+00
  2.7612488e+00  4.9154162e+00  7.2741771e+00  7.1645284e+00
  6.0738544e+00  2.2591336e+00  1.0421064e+00 -3.8088918e-02]",Anger
1,"[-387.1153       70.72266     -23.02205      17.691051      4.3131433
    4.179121    -14.34477       1.474738    -20.610434      2.2763112
  -20.971874      4.075678     -8.726877      1.4684391    -2.3721106
    2.2979512   -10.931365     -1.2432201    -8.321574     -6.2197204
  -10.673543      0.89382607   -2.867257      6.0721593     7.667761
    8.499907      5.451047      1.8989385    -1.7425543     4.111506
    4.1910954     3.4665656    -2.029414     -1.8302197     1.2546277
    2.7712772     4.432088      2.8243709     0.7425019     2.452067  ]",Anger
2,"[-4.0937262e+02  5.4361401e+01 -2.2986191e+01  2.8635084e+01
  1.8033653e+00 -3.4699383e+00 -1.6418024e+01  8.0225915e-01
 -1.6777666e+01  4.3708200e+00 -1.4116489e+01  7.4072943e+00
 -4.9129190e+00  1.4972572e+00 -1.0327512e+00 -1.8359210e+00
 -7.9936686e+00  2.0829716e+00 -1.2968128e+01  1.0032737e+00
 -6.6373496e+00  5.6923180e+00 -1.3687675e+00  3.3079042e+00
  1.8312374e-02  6.5270810e+00  4.0733109e+00  1.7584866e+01
  1.0694774e+01  4.9544163e+00  1.2752261e+00 -3.8602611e-01
  2.8416524e+00  6.5543599e+00 -1.6231669e-01  3.6371794e-02
 -5.1354551e-01  1.5269090e+00  1.4774592e+00  9.9651790e-01]",Anger
3,"[-4.3307462e+02  4.5086483e+01  2.9571106e+00  3.0780319e+01
  7.3867393e-01  5.2072763e+00 -6.4288135e+00 -2.8583641e+00
 -2.4387327e+01 -1.4280361e+00 -1.2787665e+01  5.3793368e+00
 -1.3661547e+01  7.2986765e+00  1.2740915e+00 -5.5579271e+00
 -9.7315187e+00 -1.8879840e-01 -1.0987629e+01  2.7297466e+00
 -5.3512926e+00  1.4950494e-01 -1.6685556e+00  5.0916133e+00
  3.7913604e+00  7.5963058e+00  5.9195886e+00  1.2719467e+01
  6.2758904e+00  6.3006144e+00  4.2917466e+00  2.0233154e+00
  2.2526283e+00  1.0753624e+00 -8.3063841e-01  5.1410494e+00
  9.7439820e-01  5.6618822e-01  8.3876267e-02 -1.7355698e-01]",Anger
4,"[-4.19569031e+02  4.83095055e+01  2.33137298e+00  3.08767109e+01
 -2.45525882e-01 -8.52754235e-01 -5.37838650e+00 -2.54728842e+00
 -2.27502460e+01 -2.33285666e+00 -1.58813066e+01  9.43073177e+00
 -1.41028805e+01  5.68545532e+00  3.32934713e+00 -4.13264084e+00
 -8.29142189e+00  1.54827929e+00 -1.18310480e+01 -2.95292306e+00
 -6.96936989e+00 -3.93412971e+00 -5.44228220e+00  3.53321147e+00
  7.53440022e-01  7.23920584e+00  2.08096600e+00  7.67821169e+00
  3.60078454e+00  4.11404276e+00  9.68173313e+00  8.82299709e+00
  5.98085737e+00  5.22214794e+00  1.84553993e+00  5.13001633e+00
  4.24352837e+00  1.20293653e+00 -2.31942162e-01 -3.86938035e-01]",Anger
5,"[-4.4195093e+02  4.6088947e+01  3.1653194e+00  2.5832886e+01
 -5.4810870e-01  6.5302558e+00 -4.6685395e+00  3.7152234e-01
 -2.4517082e+01  1.7209921e+00 -1.1956525e+01  5.3774958e+00
 -1.0022642e+01  5.2050886e+00  7.0190799e-01 -2.6428492e+00
 -9.4881592e+00  1.0335290e+00 -1.5868475e+01  7.5160885e-01
 -3.5154233e+00  3.9896417e+00  7.1475763e+00  1.3332504e+01
  1.0936174e+01  1.1104459e+01  9.1277409e+00  1.2290453e+01
  3.6030304e+00  3.1893473e+00  1.5835717e+00 -3.2157975e-01
  2.0817151e+00 -1.6406749e+00 -1.6765835e+00  2.6493526e+00
  3.2125831e-01  1.9216626e+00  2.3444179e-01 -2.4801764e+00]",Anger
6,"[-4.4201132e+02  4.7888359e+01  2.5221081e+00  2.5555473e+01
 -6.7135644e-01  4.9815388e+00 -5.3102126e+00  2.4634524e-01
 -2.2369257e+01  3.5500050e-01 -1.0186616e+01  5.4912195e+00
 -9.9871111e+00  5.8640924e+00  2.7224672e+00 -1.1049031e+00
 -5.2210908e+00  2.0077822e+00 -1.2781152e+01 -5.4793972e-01
 -5.0783100e+00  6.2976676e-01  2.4615829e-01  7.5281153e+00
  6.4970908e+00  1.1869118e+01  1.1013393e+01  2.1432270e+01
  1.1470530e+01  7.5443468e+00  1.0946524e+00 -1.8015301e+00
  7.1170318e-01  3.2572751e+00  3.8945726e-01  9.8284483e-01
 -2.1037266e+00  9.5069569e-01  2.4032903e+00  1.1404196e+00]",Anger
7,"[-4.0837485e+02  4.6945530e+01 -1.5460953e+01  3.2579506e+01
  4.8792238e+00 -2.2186618e+00 -1.4692856e+01  6.3078976e+00
 -1.1021874e+01  2.5649881e+00 -1.7576761e+01  1.4101389e+01
 -1.4171857e+01  9.3440933e+00 -2.5922582e-01 -1.7865731e+00
 -4.1126676e+00  5.5325186e-01 -9.7074614e+00 -1.3960809e+00
 -5.9898977e+00  5.4629499e-01 -5.7288103e+00  6.5617943e+00
  2.2244012e+00  7.1114898e+00  3.9393470e+00  7.9576340e+00
  3.6978657e+00  5.8926353e+00  1.3314034e+00  5.2172971e+00
  5.9759741e+00  2.9490035e+00  2.3912001e+00  5.7987118e+00
  2.8383653e+00  4.4045091e+00  1.6182058e+00  1.0846312e+00]",Anger
8,"[-406.5429       57.928795    -16.666927     30.828424      3.574815
   -5.7533007   -12.8901825     6.835921    -11.269288      3.9101434
  -14.308371     14.300122    -11.776117      4.332274      0.780177
   -3.9912686    -4.238984      0.9648899   -12.306748     -5.433595
   -5.054595      0.78993195   -1.738952      8.983345      6.3096786
    9.590677      8.212927      9.083847      3.9860024     3.389571
    1.5682946     2.8914132     3.885486      2.0389917     2.7126055
    5.0321994     0.4802986     1.5417585     2.043985      3.0030131 ]",Anger
9,"[-4.6578799e+02  4.5531036e+01 -5.1767931e+00  2.6243250e+01
  1.1866658e+01  1.2688267e+00 -1.0035567e+01  9.4909363e+00
 -1.2075083e+01  5.8604574e+00 -1.1702177e+01  1.4347551e+01
 -6.7383890e+00  4.7955909e+00  3.8860669e+00 -2.4230599e+00
 -5.6895399e+00  4.4807863e+00 -1.3113562e+01 -2.1662688e+00
 -5.3492899e+00  2.4904544e+00 -1.8060211e+00  7.1118760e+00
  4.0165381e+00  6.5209770e+00  3.7699916e+00  6.9279504e+00
  5.0074902e+00  2.8530166e+00  4.2104225e+00  2.2748673e+00
  3.5432792e+00  1.6402880e+00  4.7863121e+00  7.3729906e+00
  2.8758068e+00  2.5984540e+00  1.5440220e+00  8.6181976e-02]",Anger
