,feature,class
0,"[-6.4037701e+02  6.1679173e+01 -1.1988214e+01  1.5773420e+01
 -1.2838718e+00  1.0437617e+01 -4.0979939e+00  1.8340857e+00
 -9.1428995e+00  1.0313268e+00 -1.9568460e+00 -2.7680695e-01
 -7.5027843e+00  4.3509564e+00 -2.0198523e-01  1.9334148e+00
 -1.4462075e+00 -1.5064088e-01 -4.0974402e+00 -8.1106508e-01
 -5.6934814e+00 -1.8960102e-01 -3.9910879e+00 -1.1303335e+00
 -1.2117537e+00  1.3872689e+00 -1.2896252e+00 -1.2626398e+00
 -2.4559982e+00 -7.4857104e-01 -6.0009527e-01 -5.2648830e-01
 -2.2399864e+00 -5.6436485e-01 -2.7564421e+00 -2.3237884e+00
 -2.7741764e+00 -2.8904040e+00 -1.6143954e+00 -1.4471475e+00]",Anger
1,"[-3.8070447e+02  4.4045471e+01 -4.0618320e+01  7.5451894e+00
 -7.8017678e+00 -5.3147798e+00 -2.0840321e+01  2.3193488e+00
 -1.7923101e+01 -6.7548542e+00 -1.2468147e+01 -3.2828958e+00
 -8.7216940e+00 -2.2015402e+00 -5.2183456e+00  4.3741155e+00
 -2.3233788e+00  1.1506085e+00  5.8866364e-01  3.8083708e+00
 -1.5379748e+00  3.8437161e+00  1.0575062e+00  2.6249633e+00
  6.6572225e-01  2.1244469e+00 -1.4669152e+00  2.2207372e+00
  1.9880135e-01 -1.4129511e+00  6.0038912e-01 -2.8595161e-01
  1.2583045e+00  1.9904698e+00  5.9638345e-01 -1.2858386e+00
  9.7135454e-01  1.3536760e-01 -4.6664307e-01 -8.9033574e-01]",Anger
2,"[-3.1596054e+02  9.3572456e+01 -6.0505608e+01  4.9358719e+01
 -2.1021032e+01 -1.4706197e+00 -1.3427459e+01 -2.0311518e+01
 -1.3012870e+01 -1.2544691e+01 -3.9373922e+00 -7.7025671e+00
 -2.3410022e+00 -5.2336164e+00 -1.8300966e+00 -1.4865010e+01
 -3.5054214e+00 -8.8185835e+00 -9.3574305e+00  2.7487786e+00
 -5.7962213e+00  4.0066924e+00 -2.3809423e+00  3.1099384e+00
  3.1344266e+00  3.1347373e+00  9.7467003e+00  4.6068788e+00
  8.6932144e+00  3.1439159e+00  3.7217636e+00  3.0161645e+00
  2.1288481e+00  1.5291390e+00 -1.4038484e-01  2.8015666e+00
  3.7239218e-01  1.2241361e+00 -1.2636360e+00 -2.8648663e-01]",Anger
3,"[-3.1205438e+02  8.8610268e+01 -6.8260780e+01  3.4067272e+01
 -1.5249773e+01  4.7197089e+00 -1.1626734e+01 -1.6831274e+01
 -5.3596029e+00 -1.1044692e+01 -1.1413150e+00 -7.3552651e+00
 -2.2658672e+00 -4.5483475e+00 -8.0519915e+00 -1.2015284e+01
 -3.1682506e+00 -6.2039146e+00 -3.6177464e+00  4.1571107e+00
 -1.1294813e+00  4.5873117e+00 -6.0917789e-01  4.8725324e+00
  5.4480395e+00  8.7655401e+00  1.0787596e+01  3.9300408e+00
  7.9789915e+00  2.5403347e+00  4.8782997e+00  2.0524857e+00
 -1.1982286e-01  7.5432050e-01 -1.3636547e-01  2.6599286e+00
 -1.7146289e+00  9.0364999e-01 -2.3670407e-01 -3.1577036e-01]",Anger
4,"[-2.5794427e+02  8.3026260e+01 -6.9000938e+01  3.8123951e+01
 -3.6872669e+01  8.3000922e-01 -1.3693654e+01 -2.1955946e+01
 -7.3522735e+00 -6.7277174e+00 -2.9263153e+00 -1.1049883e+01
  2.0325727e+00 -3.2956657e+00 -4.7666883e+00 -8.7479153e+00
  2.3467784e+00 -1.6143808e+00  3.4475276e+00  1.0589246e+01
  1.2720302e+00  9.8607531e+00  6.3014895e-01  7.0487275e+00
  6.0976539e+00  4.5782871e+00  7.1569242e+00 -3.7439309e-02
  5.9451213e+00  1.2351211e+00  3.2524438e+00  3.5323205e+00
  6.4998364e-01  2.5541549e+00  7.0490396e-01  2.8673270e-01
  9.5823097e-01  1.3933471e+00 -1.6212739e-01  7.4810654e-01]",Anger
5,"[-2.9166113e+02  7.4197365e+01 -7.5826118e+01  3.8339001e+01
 -3.9490845e+01 -2.4626684e+00 -1.7242016e+01 -2.6031425e+01
 -3.5360289e+00 -8.3263617e+00 -6.1701179e+00 -7.7947602e+00
 -1.2978932e+00 -7.2493124e+00 -6.3005648e+00 -8.8332043e+00
  6.8933048e+00  2.8822145e+00  8.0419159e+00  1.4163505e+01
  2.0585124e+00  1.0457166e+01  2.9708910e+00  9.1606293e+00
  6.3971124e+00  3.7356732e+00  5.4865203e+00 -3.9527291e-01
  3.7047331e+00 -1.3411880e+00  2.5117064e+00  2.1309526e+00
  1.3176411e+00  1.3179899e+00  1.2916103e-01  2.5906494e+00
  8.6818355e-01  8.8237947e-01 -1.1036795e+00  8.0213946e-01]",Anger
6,"[-2.7005942e+02  6.8723579e+01 -8.5318840e+01  4.5279041e+01
 -4.2070896e+01 -3.8987703e+00 -1.4934888e+01 -2.6425795e+01
 -1.3200135e+01 -1.0000559e+01 -7.2901711e+00 -1.0690786e+01
 -1.0430574e-01 -4.4091368e+00  3.4581969e+00 -2.9387460e+00
  1.2905102e+01  3.8065157e+00  4.1113219e+00  1.1561954e+01
  7.1405315e-01  1.1798022e+01 -2.3025849e+00  2.4668667e+00
  1.4377290e+00 -1.6481753e-01  2.2546937e+00 -1.2723023e+00
  5.9911032e+00 -7.0746732e-01  1.2082133e+00 -7.8472787e-01
  6.9980162e-01  2.5285859e+00  6.3938451e-01  1.3711810e+00
  5.9124511e-01  1.0097065e+00 -3.4803076e+00  1.8219370e-01]",Anger
7,"[-2.8293427e+02  9.3480530e+01 -6.0298622e+01  4.6894337e+01
 -2.1081558e+01  7.1279302e+00 -1.3278229e+01 -1.8538801e+01
 -1.3497965e+01 -1.3204044e+01 -6.3789425e+00 -8.4636354e+00
 -2.8602374e+00 -5.6869359e+00 -2.7465370e+00 -1.5591428e+01
  1.4149855e+00 -9.4690542e+00 -6.1474767e+00  2.5733099e+00
 -8.8627262e+00  3.3351266e+00 -4.9230371e+00  2.4672201e+00
  4.2424059e+00  7.1913610e+00  8.4998875e+00  7.2125783e+00
  1.1054811e+01  5.6222463e+00  9.8736296e+00  5.2495856e+00
  6.5581231e+00  4.1868973e+00  2.1873744e+00  2.8844395e+00
  1.0496085e+00  2.3957505e+00  1.6309005e-01  2.0395854e+00]",Anger
8,"[-2.5043958e+02  8.7278404e+01 -6.6992241e+01  5.9921124e+01
 -3.2610210e+01 -6.2586703e+00 -2.1446699e+01 -2.2471205e+01
 -7.4158010e+00 -1.2969850e+01 -1.3535641e+01 -9.4323521e+00
 -6.1082673e-01 -1.1236662e+01 -6.4902639e+00 -1.4912040e+01
  4.5514069e+00 -6.6176167e+00 -2.2314651e+00  1.0139706e+01
 -4.9823608e+00  8.4743767e+00  2.5725529e+00  9.7551298e+00
  6.0720630e+00  8.4065065e+00  1.1771345e+01  3.3130181e+00
  5.2663283e+00 -3.8561375e+00  2.2699714e+00  2.9165039e+00
  2.9366074e+00 -5.8198977e-01 -2.5487347e+00  9.8705232e-01
 -2.2681944e-01  2.8991437e+00 -4.0040335e-01  1.1581938e+00]",Anger
9,"[-202.9223     118.77914    -52.482407    45.616116   -26.421942
   16.37154    -10.392029   -11.677052   -14.599166    -4.157932
   -1.1747057  -15.800305     4.375101    -7.609598     1.5274847
  -13.2309885   -0.7702333   -5.0828013   -7.589475     4.258198
  -10.975584     0.5441931   -9.361817    -2.5731542   -4.5228915
   -5.9410095    1.3784926   -3.4347513    5.5164285    1.5977116
    4.805658     4.0548058    3.2079113    3.3725817    2.7015023
    4.8691564    3.8829443    6.1967983    3.220974     3.4581552]",Anger
10,"[-2.87885315e+02  1.08040672e+02 -6.72369232e+01  4.04481506e+01
 -3.08481922e+01  4.20430374e+00 -5.27685118e+00 -1.87841587e+01
 -1.18885565e+01 -7.14753151e+00 -2.40830731e+00 -1.12170544e+01
  1.30124843e+00 -4.51139307e+00 -2.36818242e+00 -1.27760382e+01
 -1.88105845e+00 -2.75142026e+00 -1.62276375e+00  8.44870567e+00
 -4.41393757e+00  5.00744677e+00 -5.33233690e+00 -3.45120406e+00
  1.37695968e-01 -2.30288610e-01  6.97967911e+00  2.49864268e+00
  8.17108917e+00  5.19804811e+00  7.44633627e+00  7.40509605e+00
  2.87973785e+00  2.57188725e+00  3.56999922e+00  4.33934402e+00
 -1.96784362e-02  2.03283525e+00 -6.70788288e-02  5.44175386e-01]",Anger
